time,base_time,time_offset,lat,lon,alt
2023-06-10 17:08:50,2023-06-10,2023-06-10 17:08:50,38.92202,-106.9509,2764.0
2023-06-10 17:08:51,2023-06-10,2023-06-10 17:08:51,38.92202,-106.9509,2764.0
2023-06-10 17:08:52,2023-06-10,2023-06-10 17:08:52,38.92202,-106.9509,2764.0
2023-06-10 17:08:53,2023-06-10,2023-06-10 17:08:53,38.92202,-106.9509,2764.0
2023-06-10 17:08:54,2023-06-10,2023-06-10 17:08:54,38.92202,-106.9509,2764.0
2023-06-10 17:08:55,2023-06-10,2023-06-10 17:08:55,38.92202,-106.9509,2764.0
2023-06-10 17:08:56,2023-06-10,2023-06-10 17:08:56,38.92202,-106.9509,2764.0
2023-06-10 17:08:57,2023-06-10,2023-06-10 17:08:57,38.92202,-106.9509,2764.0
2023-06-10 17:08:58,2023-06-10,2023-06-10 17:08:58,38.92202,-106.9509,2764.0
2023-06-10 17:08:59,2023-06-10,2023-06-10 17:08:59,38.92202,-106.9509,2764.0
2023-06-10 17:09:00,2023-06-10,2023-06-10 17:09:00,38.92202,-106.9509,2764.0
2023-06-10 17:09:01,2023-06-10,2023-06-10 17:09:01,38.92202,-106.9509,2764.0
2023-06-10 17:09:02,2023-06-10,2023-06-10 17:09:02,38.92202,-106.9509,2764.0
2023-06-10 17:09:03,2023-06-10,2023-06-10 17:09:03,38.92202,-106.9509,2764.0
2023-06-10 17:09:04,2023-06-10,2023-06-10 17:09:04,38.92202,-106.9509,2764.0
2023-06-10 17:09:05,2023-06-10,2023-06-10 17:09:05,38.92202,-106.9509,2764.0
2023-06-10 17:09:06,2023-06-10,2023-06-10 17:09:06,38.92202,-106.9509,2764.0
2023-06-10 17:09:07,2023-06-10,2023-06-10 17:09:07,38.92202,-106.9509,2764.0
2023-06-10 17:09:08,2023-06-10,2023-06-10 17:09:08,38.92202,-106.9509,2764.0
2023-06-10 17:09:09,2023-06-10,2023-06-10 17:09:09,38.92202,-106.9509,2764.0
2023-06-10 17:09:10,2023-06-10,2023-06-10 17:09:10,38.92202,-106.9509,2764.0
2023-06-10 17:09:11,2023-06-10,2023-06-10 17:09:11,38.92202,-106.9509,2764.0
2023-06-10 17:09:12,2023-06-10,2023-06-10 17:09:12,38.92202,-106.9509,2764.0
2023-06-10 17:09:13,2023-06-10,2023-06-10 17:09:13,38.92202,-106.9509,2764.0
2023-06-10 17:09:14,2023-06-10,2023-06-10 17:09:14,38.92202,-106.9509,2764.0
2023-06-10 17:09:15,2023-06-10,2023-06-10 17:09:15,38.92202,-106.9509,2764.0
2023-06-10 17:09:16,2023-06-10,2023-06-10 17:09:16,38.92202,-106.9509,2764.0
2023-06-10 17:09:17,2023-06-10,2023-06-10 17:09:17,38.92202,-106.9509,2764.0
2023-06-10 17:09:18,2023-06-10,2023-06-10 17:09:18,38.92202,-106.9509,2764.0
2023-06-10 17:09:19,2023-06-10,2023-06-10 17:09:19,38.92202,-106.9509,2764.0
2023-06-10 17:09:20,2023-06-10,2023-06-10 17:09:20,38.92202,-106.9509,2764.0
2023-06-10 17:09:21,2023-06-10,2023-06-10 17:09:21,38.92202,-106.9509,2764.0
2023-06-10 17:09:22,2023-06-10,2023-06-10 17:09:22,38.92202,-106.9509,2764.0
2023-06-10 17:09:23,2023-06-10,2023-06-10 17:09:23,38.92202,-106.9509,2764.0
2023-06-10 17:09:24,2023-06-10,2023-06-10 17:09:24,38.92202,-106.9509,2764.0
2023-06-10 17:09:25,2023-06-10,2023-06-10 17:09:25,38.92202,-106.9509,2764.0
2023-06-10 17:09:26,2023-06-10,2023-06-10 17:09:26,38.92202,-106.9509,2764.0
2023-06-10 17:09:27,2023-06-10,2023-06-10 17:09:27,38.92202,-106.9509,2764.0
2023-06-10 17:09:28,2023-06-10,2023-06-10 17:09:28,38.92202,-106.9509,2764.0
2023-06-10 17:09:29,2023-06-10,2023-06-10 17:09:29,38.92202,-106.9509,2764.0
2023-06-10 17:09:30,2023-06-10,2023-06-10 17:09:30,38.92202,-106.9509,2764.0
2023-06-10 17:09:31,2023-06-10,2023-06-10 17:09:31,38.92202,-106.9509,2764.0
2023-06-10 17:09:32,2023-06-10,2023-06-10 17:09:32,38.92202,-106.9509,2764.0
2023-06-10 17:09:33,2023-06-10,2023-06-10 17:09:33,38.92202,-106.9509,2764.0
2023-06-10 17:09:34,2023-06-10,2023-06-10 17:09:34,38.92202,-106.9509,2764.0
2023-06-10 17:09:35,2023-06-10,2023-06-10 17:09:35,38.92202,-106.9509,2764.0
2023-06-10 17:09:36,2023-06-10,2023-06-10 17:09:36,38.92202,-106.9509,2764.0
2023-06-10 17:09:37,2023-06-10,2023-06-10 17:09:37,38.92202,-106.9509,2764.0
2023-06-10 17:09:38,2023-06-10,2023-06-10 17:09:38,38.92202,-106.9509,2764.0
2023-06-10 17:09:39,2023-06-10,2023-06-10 17:09:39,38.92202,-106.9509,2764.0
2023-06-10 17:09:40,2023-06-10,2023-06-10 17:09:40,38.92202,-106.9509,2764.0
2023-06-10 17:09:41,2023-06-10,2023-06-10 17:09:41,38.92202,-106.9509,2764.0
2023-06-10 17:09:42,2023-06-10,2023-06-10 17:09:42,38.92202,-106.9509,2764.0
2023-06-10 17:09:43,2023-06-10,2023-06-10 17:09:43,38.92202,-106.9509,2764.0
2023-06-10 17:09:44,2023-06-10,2023-06-10 17:09:44,38.92202,-106.9509,2764.0
2023-06-10 17:09:45,2023-06-10,2023-06-10 17:09:45,38.92202,-106.9509,2764.0
2023-06-10 17:09:46,2023-06-10,2023-06-10 17:09:46,38.92202,-106.9509,2764.0
2023-06-10 17:09:47,2023-06-10,2023-06-10 17:09:47,38.92202,-106.9509,2764.0
2023-06-10 17:09:48,2023-06-10,2023-06-10 17:09:48,38.92202,-106.9509,2764.0
2023-06-10 17:09:49,2023-06-10,2023-06-10 17:09:49,38.92202,-106.9509,2764.0
2023-06-10 17:09:50,2023-06-10,2023-06-10 17:09:50,38.92202,-106.9509,2764.0
2023-06-10 17:09:51,2023-06-10,2023-06-10 17:09:51,38.92202,-106.9509,2764.0
2023-06-10 17:09:52,2023-06-10,2023-06-10 17:09:52,38.92202,-106.9509,2764.0
2023-06-10 17:09:53,2023-06-10,2023-06-10 17:09:53,38.92202,-106.9509,2764.0
2023-06-10 17:09:54,2023-06-10,2023-06-10 17:09:54,38.92202,-106.9509,2764.0
2023-06-10 17:09:55,2023-06-10,2023-06-10 17:09:55,38.92202,-106.9509,2764.0
2023-06-10 17:09:56,2023-06-10,2023-06-10 17:09:56,38.92202,-106.9509,2764.0
2023-06-10 17:09:57,2023-06-10,2023-06-10 17:09:57,38.92202,-106.9509,2764.0
2023-06-10 17:09:58,2023-06-10,2023-06-10 17:09:58,38.92202,-106.9509,2764.0
2023-06-10 17:09:59,2023-06-10,2023-06-10 17:09:59,38.92202,-106.9509,2764.0
2023-06-10 17:10:00,2023-06-10,2023-06-10 17:10:00,38.92202,-106.9509,2764.0
2023-06-10 17:10:01,2023-06-10,2023-06-10 17:10:01,38.92202,-106.9509,2764.0
2023-06-10 17:10:02,2023-06-10,2023-06-10 17:10:02,38.92202,-106.9509,2764.0
2023-06-10 17:10:03,2023-06-10,2023-06-10 17:10:03,38.92202,-106.9509,2764.0
2023-06-10 17:10:04,2023-06-10,2023-06-10 17:10:04,38.92202,-106.9509,2764.0
2023-06-10 17:10:05,2023-06-10,2023-06-10 17:10:05,38.92202,-106.9509,2764.0
2023-06-10 17:10:06,2023-06-10,2023-06-10 17:10:06,38.92202,-106.9509,2764.0
2023-06-10 17:10:07,2023-06-10,2023-06-10 17:10:07,38.92202,-106.9509,2764.0
2023-06-10 17:10:08,2023-06-10,2023-06-10 17:10:08,38.92202,-106.9509,2764.0
2023-06-10 17:10:09,2023-06-10,2023-06-10 17:10:09,38.92202,-106.9509,2764.0
2023-06-10 17:10:10,2023-06-10,2023-06-10 17:10:10,38.92202,-106.9509,2764.0
2023-06-10 17:10:11,2023-06-10,2023-06-10 17:10:11,38.92202,-106.9509,2764.0
2023-06-10 17:10:12,2023-06-10,2023-06-10 17:10:12,38.92202,-106.9509,2764.0
2023-06-10 17:10:13,2023-06-10,2023-06-10 17:10:13,38.92202,-106.9509,2764.0
2023-06-10 17:10:14,2023-06-10,2023-06-10 17:10:14,38.92202,-106.9509,2764.0
2023-06-10 17:10:15,2023-06-10,2023-06-10 17:10:15,38.92202,-106.9509,2764.0
2023-06-10 17:10:16,2023-06-10,2023-06-10 17:10:16,38.92202,-106.9509,2764.0
2023-06-10 17:10:17,2023-06-10,2023-06-10 17:10:17,38.92202,-106.9509,2764.0
2023-06-10 17:10:18,2023-06-10,2023-06-10 17:10:18,38.92202,-106.9509,2764.0
2023-06-10 17:10:19,2023-06-10,2023-06-10 17:10:19,38.92202,-106.9509,2764.0
2023-06-10 17:10:20,2023-06-10,2023-06-10 17:10:20,38.92202,-106.9509,2764.0
2023-06-10 17:10:21,2023-06-10,2023-06-10 17:10:21,38.92202,-106.9509,2764.0
2023-06-10 17:10:22,2023-06-10,2023-06-10 17:10:22,38.92202,-106.9509,2764.0
2023-06-10 17:10:23,2023-06-10,2023-06-10 17:10:23,38.92202,-106.9509,2764.0
2023-06-10 17:10:24,2023-06-10,2023-06-10 17:10:24,38.92202,-106.9509,2764.0
2023-06-10 17:10:25,2023-06-10,2023-06-10 17:10:25,38.92202,-106.9509,2764.0
2023-06-10 17:10:26,2023-06-10,2023-06-10 17:10:26,38.92202,-106.9509,2764.0
2023-06-10 17:10:27,2023-06-10,2023-06-10 17:10:27,38.92202,-106.9509,2764.0
2023-06-10 17:10:28,2023-06-10,2023-06-10 17:10:28,38.92202,-106.9509,2764.0
2023-06-10 17:10:29,2023-06-10,2023-06-10 17:10:29,38.92202,-106.9509,2764.0
2023-06-10 17:10:30,2023-06-10,2023-06-10 17:10:30,38.92202,-106.9509,2764.0
2023-06-10 17:10:31,2023-06-10,2023-06-10 17:10:31,38.92202,-106.9509,2764.0
2023-06-10 17:10:32,2023-06-10,2023-06-10 17:10:32,38.92202,-106.9509,2764.0
2023-06-10 17:10:33,2023-06-10,2023-06-10 17:10:33,38.92202,-106.9509,2764.0
2023-06-10 17:10:34,2023-06-10,2023-06-10 17:10:34,38.92202,-106.9509,2764.0
2023-06-10 17:10:35,2023-06-10,2023-06-10 17:10:35,38.92202,-106.9509,2764.0
2023-06-10 17:10:36,2023-06-10,2023-06-10 17:10:36,38.92202,-106.9509,2764.0
2023-06-10 17:10:37,2023-06-10,2023-06-10 17:10:37,38.92202,-106.9509,2764.0
2023-06-10 17:10:38,2023-06-10,2023-06-10 17:10:38,38.92202,-106.9509,2764.0
2023-06-10 17:10:39,2023-06-10,2023-06-10 17:10:39,38.92202,-106.9509,2764.0
2023-06-10 17:10:40,2023-06-10,2023-06-10 17:10:40,38.92202,-106.9509,2764.0
2023-06-10 17:10:41,2023-06-10,2023-06-10 17:10:41,38.92202,-106.9509,2764.0
2023-06-10 17:10:42,2023-06-10,2023-06-10 17:10:42,38.92202,-106.9509,2764.0
2023-06-10 17:10:43,2023-06-10,2023-06-10 17:10:43,38.92202,-106.9509,2764.0
2023-06-10 17:10:44,2023-06-10,2023-06-10 17:10:44,38.92202,-106.9509,2764.0
2023-06-10 17:10:45,2023-06-10,2023-06-10 17:10:45,38.92202,-106.9509,2764.0
2023-06-10 17:10:46,2023-06-10,2023-06-10 17:10:46,38.92202,-106.9509,2764.0
2023-06-10 17:10:47,2023-06-10,2023-06-10 17:10:47,38.92202,-106.9509,2764.0
2023-06-10 17:10:48,2023-06-10,2023-06-10 17:10:48,38.92202,-106.9509,2764.0
2023-06-10 17:10:49,2023-06-10,2023-06-10 17:10:49,38.92202,-106.9509,2764.0
